Prompt,Expected response,Test Method Type
What is the process for long-term disability,"Long-term disability requires notifying HR or benefits, submitting required medical documentation, completing the official claim form, and providing any additional information requested during review. Once approved, you receive details on payments, duration, and required follow-ups. Maintain communication with HR for updates or documentation needs.",GeneralQuality
How do geographic pay differences work,"Geographic pay differences adjust compensation based on local labor markets, cost of living, and regional benchmarks. Companies set location-based salary ranges applied during hiring, transfers, and relocations to ensure equity and competitiveness. Pay may increase or decrease when employees move to different cost-of-living areas.",GeneralQuality
How do I enroll in my benefits,"You can enroll in your benefits through your organization’s benefits or employee self‑service portal. Review the available plans, choose the options you want, and submit your selections. You may need to enter details such as dependents or beneficiaries. After submitting, you should receive a confirmation message. If you’re unsure where to find the portal or need help with the process, contact your HR or benefits support team.",GeneralQuality
What is covered under my medical plan,"Medical plan coverage varies by provider and plan, but most plans include doctor visits, hospitalization and emergency services, prescriptions, preventive care, lab tests and imaging, mental health services, and maternity and newborn care. For exact details about your specific coverage, check your benefits portal or contact your HR or benefits administrator.",GeneralQuality
How do I check if a provider is in-network,"To confirm whether a provider is in‑network, use your insurance provider’s website and search their “Find a Provider” or directory tool by name, specialty, or location. Make sure you select your specific plan, since network status can vary. You can also call the customer service number on your insurance card and ask a representative to verify the provider’s network status.",GeneralQuality
What documentation do I need for a leave,"The documentation you need depends on the type of leave and your company’s policy. Most organizations require a leave request form and supporting documents. Medical leave usually requires a doctor’s note stating the reason and duration. Family or bereavement leave may require a death certificate or obituary. Parental leave may require a birth certificate, adoption papers, or medical records. Jury duty or legal leave requires an official summons or court document. Many policies require advance notice and manager or HR approval. Check your company’s leave policy for exact requirements.",GeneralQuality
Am I eligible for a bonus,"Bonus eligibility depends on factors like your role, performance, employment status, company policy, and sometimes your hire date. For the most accurate answer, review your employment contract or performance documents, or contact your HR representative.",GeneralQuality
What should I do if I think my pay is incorrect,"Start by reviewing your latest pay statement for missing hours, incorrect deductions, or changes in pay rate. Gather supporting documents such as timesheets, contracts, or past statements. Contact payroll or HR with a clear description of the issue and your documentation. If the issue is not resolved, request a case or ticket number and ask for an update timeline. You can escalate to your manager or HR if needed.",GeneralQuality
How do I approve my employee's time off,"You can approve time off through your HR or time‑tracking system. Log in as a manager, go to the time‑off or leave‑request section, and review pending requests. Open the request to check dates and details, then approve it or ask for clarification. Your employee will receive a notification. Steps may vary by system, so check your HR platform if you need system‑specific instructions.",GeneralQuality
What do I need to do when someone leaves my team,"When someone leaves your team, notify HR and IT so they can start offboarding and remove access. Communicate the departure to your team and update rosters, assignments, and systems. Reassign responsibilities and conduct an exit interview if required. Ensure company property is returned and access is revoked. Check in with remaining team members to support workload and morale during the transition.",GeneralQuality
