Prompt,Expected response,Test Method Type,Passing Score
Show me my base salary details,"Base salary, local currency, compa ratio",CompareMeaning,70
What is my Cost Center?,Cost center number and cost center name,CompareMeaning,70
What is my employee ID?,Employee ID,CompareMeaning,70
Show me my job details,"Job title, job classification, job function code, job function type",CompareMeaning,70
What is my position ID?,Position ID,CompareMeaning,70
Show my service anniversary date,Service anniversary date and years of service,CompareMeaning,70
What is my company code?,Company code and company name,CompareMeaning,70
How much can I expect to earn annually?,Annual base salary amount and local currency,CompareMeaning,70
I need to correct my email in HR.,Email address on file,CompareMeaning,70
How do I update my emergency contact?,"List of emergency contacts with name, relationship, and phone number",CompareMeaning,70
I need to add a new work phone,"List of phone numbers by type (business, mobile, home, fax)",CompareMeaning,70
I want to update my preferred name.,Preferred name on file,CompareMeaning,70
Do you have my national ID on file?,"National ID details including country, card type, ID number, and primary status",CompareMeaning,70
Show me the company code for my direct reports,Company code and company name for each direct report,CompareMeaning,70
Show me the cost center for my team members,Cost center details for each team member,CompareMeaning,70
Show me the job information for <Name>,"Job title, job code, position number, job function, job function type",CompareMeaning,70
What is my team member’s work anniversary?,"Hire date, next service anniversary date, and milestone years for each team member",CompareMeaning,70
What is the work anniversary for <Name>?,"Hire date, next service anniversary date, and milestone years for each team member",CompareMeaning,70
I need to update my employee’s job title.,Current job title for each employee,CompareMeaning,70
What is the hire date for <Name>?,Hire date,CompareMeaning,70
