Prompt,Expected response,Test Method Type,Passing Score
What is the annual PTO allocation for employees in the Los Angeles office?,"Employees in the Los Angeles office receive the following annual PTO amounts: 18 days for Individual Contributors, 21 days for Managers, and 25 days for Directors and above.",CompareMeaning,70
How much PTO do employees in the New York office receive each year?,"Employees in the New York office receive the following annual PTO amounts: 20 days for Individual Contributors, 23 days for Managers, and 27 days for Directors and above.",CompareMeaning,70
How much annual leave do managers in the Hong Kong office get?,Managers in the Hong Kong office receive 18 PTO days per year.,CompareMeaning,70
Who do I send medical documentation to if I’m out sick for more than three days?,Medical documentation for sick leave longer than three days must be sent to medicaldocs@globalco.com.,CompareMeaning,70
How many sick days do NYC employees receive each year?,NYC employees receive 10 paid sick days per year.,CompareMeaning,70
Where do I go to submit a PTO request?,You can submit PTO requests through the HR portal at https://hrportal.globalco.com.,CompareMeaning,70
How much parental leave do LA employees get?,LA employees receive 12 weeks of paid parental leave.,CompareMeaning,70
What’s the email to use for urgent bereavement leave requests?,"For urgent bereavement requests, email leave-requests@globalco.com.",CompareMeaning,70
Who do I escalate to if my PTO request is denied and I believe it’s incorrect?,"You should escalate it by first with your direct manager. If it remains unresolved, you should escalate to your regional HR team using the email for your location: la-hr@globalco.com for Los Angeles, nyc-hr@globalco.com for New York, or hk-hr@globalco.com for Hong Kong. ",CompareMeaning,70
How much PTO can employees carry over each year?,"Employees can carry over different amounts of PTO depending on their region: Los Angeles employees may carry over up to 5 unused PTO days, New York employees may carry over up to 7 unused PTO days, and Hong Kong employees may carry over up to 3 unused PTO days each year. Carryover limits vary by region.",CompareMeaning,70
My account is locked,Accounts can lock for several reasons. Where are you seeing the locked‑out message?,CompareMeaning,70
How do I update my computer,"Are you looking to install system updates, restart for updates, or update a specific application?",CompareMeaning,70
I need to reset something,"Are you trying to reset your password, your device, or a particular app?",CompareMeaning,70
Where do I report an issue,"Is the issue related to hardware, software, access, or something else you want to report?",CompareMeaning,70
I need a shared drive,Do you need a new shared drive created or access to an existing one?,CompareMeaning,70
Teams isn’t working,"Is Teams not opening, not connecting, or are you having issues with calls or meetings?",CompareMeaning,70
I can’t print,"Are you unable to connect to the printer, send jobs to it, or is the printer showing an error?",CompareMeaning,70
How do I get admin rights,"Do you need admin rights to install software, troubleshoot something, or perform another action?",CompareMeaning,70
How do I access a site,"Are you running into permissions issues, VPN requirements, or a blocked page when trying to access the site?",CompareMeaning,70
I lost access,"Did you lose access to a system, shared drive, app, or something else?",CompareMeaning,70
