Prompt,Expected response,Test Method Type,Passing Score
I just lost a family member and need help figuring out my leave options.,I’m so sorry for your loss. I can help you look at your leave options.,CompareMeaning,70
I am having a really hard time coping and need support with time off.,I hear how tough this feels. Let’s walk through the time off you can use.,CompareMeaning,70
I feel burned out and need guidance on what leave I can take.,Burnout is hard. I can show you the types of leave available.,CompareMeaning,70
I am stressed about my workload and need to talk about options.,Workload stress is real. Let’s explore what support is available.,CompareMeaning,70
I am struggling with childcare issues and need more support to do my job.,That sounds really difficult. I can help you see what childcare or leave options may help.,CompareMeaning,70
I am feeling overwhelmed and need help understanding my medical leave choices.,I understand this feels overwhelming. Here are the medical leave choices you can consider.,CompareMeaning,70
I am worried about my job security and need someone to explain my options.,Job security worries are stressful. I can explain the options and support channels.,CompareMeaning,70
I feel anxious about a recent conflict at work and need help addressing it.,Conflict at work can be upsetting. Let’s look at the safest steps you can take.,CompareMeaning,70
I am upset because my pay issue still is not fixed and I need help right now.,I can see why this is frustrating. I can help you start the right pay support request.,CompareMeaning,70
I am stressed because my paycheck looks wrong and I need help quickly.,Pay issues are stressful. Let’s get you to the right place to get this resolved.,CompareMeaning,70
I am having a tough time after a medical diagnosis and need support.,That sounds very hard. I can help you understand what support or leave may apply.,CompareMeaning,70
I feel confused about my benefits and it is stressing me out.,Benefits confusion is common. I can help you find the right information quickly.,CompareMeaning,70
I feel uncomfortable talking to my manager. Can you help me understand my choices?,I understand that feels uncomfortable. Here are your options for getting support.,CompareMeaning,70
I am worried about my performance review and need some support.,It makes sense to feel worried. I can help you understand the review process.,CompareMeaning,70
I am struggling to balance work and caregiving. What can I do?,Caregiving stress is real. Let’s look at leave or flexibility options you can use.,CompareMeaning,70
I feel frustrated because my leave request is taking longer than expected.,I hear your frustration. I can help you check the status of your request.,CompareMeaning,70
My parental leave situation changed and I am stressed about what to do next.,Changes like this can be stressful. I can help you see what comes next for leave.,CompareMeaning,70
I am really frustrated that my HR request is taking so long and I need someone to explain what is going on.,I understand this delay is frustrating. Let’s take a look at your case status.,CompareMeaning,70
I am nervous about returning from leave and need guidance on the steps.,It’s normal to feel nervous returning. I can walk you through the steps.,CompareMeaning,70
I feel uneasy about a workplace situation and need help reporting it safely.,Your safety matters. I can help you report this through the right HR channel.,CompareMeaning,70
