Prompt,Expected response,Test Method Type,Passing Score
My laptop crashed during an important meeting. Can you help me fix this quickly?,I can see how stressful that must have been. Let’s get your laptop issue checked right away.,CompareMeaning,70
I keep getting locked out of my account,Getting locked out is frustrating. I can help you reset access.,CompareMeaning,70
My computer has been freezing all morning and I it's disrupting my productivity,I hear how disruptive this feels. Let’s look at steps to get your computer working again.,CompareMeaning,70
I have a big deadline today and my VPN stopped working. This is urgent.,I understand this is urgent. I can help you troubleshoot the VPN quickly.,CompareMeaning,70
I am feeling burnt out and this IT issue is just too much right now,Burnout is real. I can guide you on the simplest way to get this IT issue handled.,CompareMeaning,70
I just lost an important file and I am freaking out.,Losing a file is upsetting. Let’s look at what recovery options you have.,CompareMeaning,70
This software keeps crashing and I am getting really frustrated.,I get why that is frustrating. I can help you restart or update the software safely.,CompareMeaning,70
I am worried I made a mistake clicking a suspicious link. Can you tell me what to do?,It makes sense to feel worried. I can walk you through the right steps after clicking a suspicious link.,CompareMeaning,70
My video conferencing app is not working and I am stressed because I do not want to miss my meeting.,I understand the stress this causes. Let’s get your video issue fixed so you do not miss your meeting.,CompareMeaning,70
My computer updates restarted in the middle of a presentation and it was really annoying,That would be annoying. I can help you get back into your presentation setup.,CompareMeaning,70
My access request is taking forever and it is putting a lot of pressure on me. Can you help me check it?,I hear the pressure you are under. I can check the status of your access request.,CompareMeaning,70
This system error keeps popping up and I can't get any work done,Repeated errors are exhausting. Let’s try a quick way to clear the issue.,CompareMeaning,70
I am nervous about installing new software because I do not want to break anything,It is normal to feel nervous. I can guide you through installing the software safely.,CompareMeaning,70
