Prompt,Category (delete before testing),Sub-area  (delete before testing),Expected response,Test Method Type,Passing Score
Create a ticket for my laptop not turning on.,IT Ticket lifecycle,Create a ticket,,CompareMeaning,70
Open a ticket for a cracked laptop screen.,IT Ticket lifecycle,Create a ticket,,CompareMeaning,70
I need an IT ticket for a broken dock.,IT Ticket lifecycle,Create a ticket,,CompareMeaning,70
Start a ticket about random shutdowns.,IT Ticket lifecycle,Create a ticket,,CompareMeaning,70
Log an incident for keyboard keys not working.,IT Ticket lifecycle,Create a ticket,,CompareMeaning,70
Add a screenshot to my existing ticket.,IT Ticket lifecycle,Update or add details,,CompareMeaning,70
Update my ticket with 'still happening after reboot'.,IT Ticket lifecycle,Update or add details,,CompareMeaning,70
Attach logs to ticket 12345.,IT Ticket lifecycle,Update or add details,,CompareMeaning,70
Change the description to include the error code 0x80070005.,IT Ticket lifecycle,Update or add details,,CompareMeaning,70
What's the status of my open tickets?,IT Ticket lifecycle,Check status,,CompareMeaning,70
Show me my closed tickets from last month.,IT Ticket lifecycle,Check status,,CompareMeaning,70
Has my hardware repair ticket moved to 'in progress'?,IT Ticket lifecycle,Check status,,CompareMeaning,70
"Escalate my ticket, it's urgent.",IT Ticket lifecycle,Escalate or request live agent,,CompareMeaning,70
I need a live IT agent right now.,IT Ticket lifecycle,Escalate or request live agent,,CompareMeaning,70
Can you route this to Tier 2?,IT Ticket lifecycle,Escalate or request live agent,,CompareMeaning,70
"I forgot my password, reset it.","Access, authentication & security",Password resets,,CompareMeaning,70
How do I change my password on Windows?,"Access, authentication & security",Password resets,,CompareMeaning,70
"Password reset keeps failing, help.","Access, authentication & security",Password resets,,CompareMeaning,70
My Authenticator app isn't prompting me.,"Access, authentication & security",MFA / Authenticator,,CompareMeaning,70
"I got a new phone, how do I move MFA?","Access, authentication & security",MFA / Authenticator,,CompareMeaning,70
MFA codes not accepted even though they're fresh.,"Access, authentication & security",MFA / Authenticator,,CompareMeaning,70
Authenticator push notifications aren't coming through.,"Access, authentication & security",MFA / Authenticator,,CompareMeaning,70
How do I set up a passkey on this device?,"Access, authentication & security",Passkey setup,,CompareMeaning,70
"Passkey sign-in not showing as an option, why?","Access, authentication & security",Passkey setup,,CompareMeaning,70
