Prompt,Category  (delete before testing),Sub-area  (delete before testing),Expected response,Test Method Type,Passing Score
Am I eligible for promotion this cycle?,Promotions & Performance,Determining impact and eligibility,,CompareMeaning,70
How do I know if I'm in the promotion window?,Promotions & Performance,Determining impact and eligibility,,CompareMeaning,70
What does promotion readiness mean for my role?,Promotions & Performance,Determining impact and eligibility,,CompareMeaning,70
Can you check if I'm meeting promotion criteria?,Promotions & Performance,Determining impact and eligibility,,CompareMeaning,70
How do I nominate someone on my team for promotion?,Promotions & Performance,Promotion guidance for managers,,CompareMeaning,70
What should I include in a promotion justification?,Promotions & Performance,Promotion guidance for managers,,CompareMeaning,70
What's the process for manager promotion submissions?,Promotions & Performance,Promotion guidance for managers,,CompareMeaning,70
Can managers submit off-cycle promotions?,Promotions & Performance,Promotion guidance for managers,,CompareMeaning,70
How do I communicate merit changes to my employee?,Promotions & Performance,Reward communication scenarios,,CompareMeaning,70
What's the best way to explain bonus changes?,Promotions & Performance,Reward communication scenarios,,CompareMeaning,70
How do I talk about stock grant changes with my team?,Promotions & Performance,Reward communication scenarios,,CompareMeaning,70
When do merit increases show up?,Promotions & Performance,"Understanding merit, bonus, stock",,CompareMeaning,70
How is my bonus calculated?,Promotions & Performance,"Understanding merit, bonus, stock",,CompareMeaning,70
How does stock vesting work?,Promotions & Performance,"Understanding merit, bonus, stock",,CompareMeaning,70
Do promotion timelines differ outside the U.S.?,Promotions & Performance,Reward differences across roles/countries,,CompareMeaning,70
Why do salary bands vary by country?,Promotions & Performance,Reward differences across roles/countries,,CompareMeaning,70
Do bonus structures differ globally?,Promotions & Performance,Reward differences across roles/countries,,CompareMeaning,70
Can I be promoted while on leave?,Promotions & Performance,"Handling exceptions (leave, transfers)",,CompareMeaning,70
What happens to a promotion case if I transfer teams?,Promotions & Performance,"Handling exceptions (leave, transfers)",,CompareMeaning,70
Does disability leave affect merit?,Promotions & Performance,"Handling exceptions (leave, transfers)",,CompareMeaning,70
Show me my last paystub.,Pay & Compensation,Paystub access,,CompareMeaning,70
Where do I download my pay slip?,Pay & Compensation,Paystub access,,CompareMeaning,70
My paystub isnt loading help,Pay & Compensation,Paystub access,,CompareMeaning,70
Am I being paid fairly?,Pay & Compensation,Fairness/transparency,,CompareMeaning,70
How does pay transparency work?,Pay & Compensation,Fairness/transparency,,CompareMeaning,70
How do I compare my pay to the market?,Pay & Compensation,Fairness/transparency,,CompareMeaning,70
Do coworkers at my level get paid more?,Pay & Compensation,Peer comparisons,,CompareMeaning,70
Is my teammate earning more than me?,Pay & Compensation,Peer comparisons,,CompareMeaning,70
How does pay change if I move states?,Pay & Compensation,Geographic pay differences,,CompareMeaning,70
Does my salary adjust if I relocate internationally?,Pay & Compensation,Geographic pay differences,,CompareMeaning,70
What's my compa-ratio?,Pay & Compensation,Compa ratio & equity adjustments,,CompareMeaning,70
How do equity adjustments work?,Pay & Compensation,Compa ratio & equity adjustments,,CompareMeaning,70
Am I eligible for parental leave?,Leave of Absence & PTO,Eligibility and apply,,CompareMeaning,70
How do I start a medical leave request?,Leave of Absence & PTO,Eligibility and apply,,CompareMeaning,70
What documents do I need for leave?,Leave of Absence & PTO,Eligibility and apply,,CompareMeaning,70
How do I approve my employeeâs leave?,Leave of Absence & PTO,Manager actions,,CompareMeaning,70
Where do I find pending approvals?,Leave of Absence & PTO,Manager actions,,CompareMeaning,70
Does going on leave affect merit?,Leave of Absence & PTO,Impact on rewards/pay,,CompareMeaning,70
