Prompt,Expected response ,Test Method Type,Passing Score
Show me my base salary details,"Base salary <Amount + Currency>, Currency <Code>, Compa‑ratio <0.00>",CompareMeaning,70
What is my Cost Center?,Cost center <1234-5678 + Name>,CompareMeaning,70
What is my employee ID?,Employee ID <123456>,CompareMeaning,70
Show me my job details,"Job title <Title>, job classification <Classification>, job function <Code>, job function type <Type>",CompareMeaning,70
What is my position ID?,Position ID <12345678>,CompareMeaning,70
Show my service anniversary date,Service anniversary date <MM/DD/YYYY> and milestone <X years>,CompareMeaning,70
What is my company code?,Company code <1234 + Company Name>,CompareMeaning,70
How much can I expect to earn annually?,Annual base salary <Amount + Currency>,CompareMeaning,70
I need to correct my email in HR.,Email address on file <email@example.com>,CompareMeaning,70
How do I update my emergency contact?,"Emergency contacts on file <Name, Relationship, Phone>",CompareMeaning,70
I need to add a new work phone,Phone numbers on file <Type: Number>,CompareMeaning,70
I want to update my preferred name.,Preferred name on file <Name>,CompareMeaning,70
Do you have my national ID on file?,"National ID details <Country, Card type, ID number, Primary status>",CompareMeaning,70
Show me the company code for my direct reports,Company code for direct reports <Name: Code + Company>,CompareMeaning,70
Show me the cost center for my team members,Cost center for team members <Name: CostCenter + Description>,CompareMeaning,70
Show me the job information for <Name>,"Job information <Job title, Job code, Position number, Job function, Job function type>",CompareMeaning,70
What is my team member’s work anniversary?,"Team member service anniversaries <Hire date, Next anniversary date, Milestone years>",CompareMeaning,70
What is the work anniversary for <Name>?,"Service anniversary <Hire date, Next anniversary date, Milestone years>",CompareMeaning,70
I need to update my employee’s job title.,Current job titles for employees <Name: Title>,CompareMeaning,70
Help me update the job title for <Name>,Job title update workflow <Action card or form>,CompareMeaning,70
What is the hire date for <Name>?,Hire date <MM/DD/YYYY>,CompareMeaning,70
